t,Yt
01/01/1950,861
01/02/1950,957
01/03/1950,1038
01/04/1950,998
01/05/1950,1045
01/06/1950,899
01/07/1950,1031
01/08/1950,1048
01/09t/1950,1101
01/10/1950,946
01/11/1950,1096
01/12/1950,1160
01/01/1951,1078
01/02/1951,1059
01/03/1951,1006
01/04/1951,1096
01/05/1951,1174
01/06/1951,1070
01/07/1951,1175
01/08/1951,1352
01/09t/1951,1364
01/10/1951,1353
01/11/1951,1228
01/12/1951,1346
01/01/1952,1404
01/02/1952,1268
01/03/1952,1265
01/04/1952,1228
01/05/1952,1175
01/06/1952,1160
01/07/1952,1238
01/08/1952,1097
01/09t/1952,1077
01/10/1952,1009
01/11/1952,957
01/12/1952,981
01/01/1953,927
01/02/1953,1078
01/03/1953,933
01/04/1953,1088
01/05/1953,950
01/06/1953,1007
01/07/1953,1161
01/08/1953,1242
01/09t/1953,1080
01/10/1953,1192
01/11/1953,1143
01/12/1953,958
01/01/1954,1008
01/02/1954,773
01/03/1954,1064
01/04/1954,1158
01/05/1954,1080
01/06/1954,1118
01/07/1954,1041
01/08/1954,1098
01/09t/1954,991
01/10/1954,1070
01/11/1954,877
01/12/1954,1127
01/01/1955,1095
01/02/1955,1142
01/03/1955,1149
01/04/1955,1055
01/05/1955,883
01/06/1955,896
01/07/1955,770
01/08/1955,893
01/09t/1955,856
01/10/1955,870
01/11/1955,700
01/12/1955,852
01/01/1956,585
01/02/1956,691
01/03/1956,780
01/04/1956,870
01/05/1956,926
01/06/1956,857
01/07/1956,830
01/08/1956,973
01/09t/1956,861
01/10/1956,831
01/11/1956,825
01/12/1956,834
01/01/1957,804
01/02/1957,861
01/03/1957,822
01/04/1957,761
01/05/1957,946
01/06/1957,936
01/07/1957,805
01/08/1957,931
01/09t/1957,789
01/10/1957,752
01/11/1957,790
01/12/1957,795
01/01/1958,989
01/02/1958,977
01/03/1958,1102
01/04/1958,1231
01/05/1958,1305
01/06/1958,1345
01/07/1958,1304
01/08/1958,1070
01/09t/1958,1145
01/10/1958,929
01/11/1958,978
01/12/1958,911
01/01/1959,808
01/02/1959,655
01/03/1959,750
01/04/1959,846
01/05/1959,995
01/06/1959,948
01/07/1959,762
01/08/1959,745
01/09t/1959,892
01/10/1959,687
01/11/1959,882
01/12/1959,1036
01/01/1960,1032
01/02/1960,1109
01/03/1960,1132
01/04/1960,1252
01/05/1960,1360
01/06/1960,1253
01/07/1960,1135
01/08/1960,986
01/09t/1960,955
01/10/1960,1049
01/11/1960,971
01/12/1960,873
01/01/1961,921
01/02/1961,1056
01/03/1961,1050
01/04/1961,1121
01/05/1961,1021
01/06/1961,931
01/07/1961,1177
01/08/1961,1195
01/09t/1961,959
01/10/1961,1049
01/11/1961,919
01/12/1961,933
01/01/1962,815
01/02/1962,889
01/03/1962,960
01/04/1962,1002
01/05/1962,947
01/06/1962,957
01/07/1962,995
01/08/1962,991
01/09t/1962,1003
01/10/1962,909
01/11/1962,858
01/12/1962,870
