t,Zt
01/01/2010,32758.53
02/01/2010,32732.76
03/01/2010,32830.16
04/01/2010,33064.57
05/01/2010,32892.04
06/01/2010,32935.38
07/01/2010,32792.66
08/01/2010,32836.08
09/01/2010,32729.58
10/01/2010,32262.3
11/01/2010,32482.73
12/01/2010,32473.05
13/01/2010,32025.34
14/01/2010,31205.3
15/01/2010,30830.91
16/01/2010,30465.06
17/01/2010,30651.56
18/01/2010,30610.83
19/01/2010,30811.35
20/01/2010,30391.61
21/01/2010,30876.65
22/01/2010,31287.04
23/01/2010,30603.71
24/01/2010,30630.73
25/01/2010,30649.44
26/01/2010,30818.48
27/01/2010,30746.05
28/01/2010,30845.63
29/01/2010,31005.74
30/01/2010,31038.32
31/01/2010,31644.77
01/02/2010,31892.12
02/02/2010,32170.79
03/02/2010,32172.11
04/02/2010,32034.34
05/02/2010,31850.24
06/02/2010,31788.54
07/02/2010,31649.1
08/02/2010,31634.54
09/02/2010,31765.14
10/02/2010,32055.04
11/02/2010,32353.54
12/02/2010,32202
13/02/2010,32436.53
14/02/2010,32520.27
15/02/2010,32514.17
16/02/2010,32505.76
17/02/2010,32602.94
18/02/2010,32578.05
19/02/2010,32723.9
20/02/2010,32798.3
21/02/2010,32969.83
22/02/2010,33022.84
23/02/2010,33142.02
24/02/2010,33361.27
25/02/2010,33160.97
26/02/2010,33164.33
27/02/2010,33147.81
28/02/2010,33416.1
01/03/2010,33399.46
02/03/2010,33266.43
03/03/2010,33648.89
04/03/2010,33801.21
05/03/2010,33632.35
06/03/2010,33567.35
07/03/2010,33840.85
08/03/2010,33852.39
09/03/2010,33819.04
10/03/2010,34113.93
11/03/2010,34134.23
12/03/2010,33621.39
13/03/2010,33439.77
14/03/2010,33813.16
15/03/2010,33517.18
16/03/2010,33658.37
17/03/2010,33853.69
18/03/2010,33771.55
19/03/2010,32679.36
20/03/2010,32952.86
21/03/2010,32861
22/03/2010,32687.32
23/03/2010,32832.45
24/03/2010,32120.65
25/03/2010,31995.28
26/03/2010,31398.97
27/03/2010,31488.82
28/03/2010,32276.92
29/03/2010,32119.11
30/03/2010,32379.63
31/03/2010,32342.43
01/04/2010,31812.73
02/04/2010,31580.63
03/04/2010,31136.35
04/04/2010,30992.76
05/04/2010,30368.08
06/04/2010,30629.15
07/04/2010,30759.48
08/04/2010,30634.17
09/04/2010,31328.49
10/04/2010,32056.16
11/04/2010,31547.55
12/04/2010,32038.53
13/04/2010,31245.83
14/04/2010,31411.91
15/04/2010,31331.86
16/04/2010,30992.65
17/04/2010,30739.01
18/04/2010,31059.83
19/04/2010,31209.33
20/04/2010,31910.22
21/04/2010,32124.28
22/04/2010,32238.41
23/04/2010,32685.4
24/04/2010,32805.63
25/04/2010,32775.34
26/04/2010,32814.62
27/04/2010,32882
28/04/2010,32470.7
29/04/2010,32663.29
30/04/2010,32312.76
01/05/2010,32607.13
02/05/2010,32568.19
03/05/2010,31473.2
04/05/2010,31156.97
05/05/2010,31197.04
06/05/2010,31379.67
07/05/2010,31391.45
08/05/2010,31533.58
09/05/2010,32035.19
10/05/2010,31960.64
11/05/2010,32004.31
12/05/2010,31870.55
13/05/2010,32185.2
14/05/2010,32305.71
15/05/2010,32381.06
16/05/2010,31783.39
17/05/2010,31845.88
18/05/2010,32024.27
19/05/2010,32108.99
20/05/2010,32720.76
21/05/2010,32806.03
22/05/2010,32958.89
23/05/2010,32695.31
24/05/2010,32665.56
25/05/2010,32463.72
26/05/2010,32308.74
27/05/2010,32816.52
28/05/2010,32768.08
29/05/2010,32900.48
30/05/2010,32907.19
31/05/2010,32917.92
01/06/2010,32837.57
02/06/2010,32685.52
